"regon14","nip","nazwa","woj","pow","gmi","miej","ul","nr","lok","miej_naz","ul_naz"
"25096563700000","5140070061","POWIATOWY URZĄD PRACY W OSTRZESZOWIE","30","18","074","0937250","17742","7","","Ostrzeszów","ul. Przemysłowa"
"25096734600000","6171563575","POWIATOWY URZĄD PRACY W PLESZEWIE","30","20","064","0937280","25081","6","","Pleszew","ul. Wyspiańskiego"
"25096794900000","6191060630","POWIATOWY URZĄD PRACY W KĘPNIE","30","08","035","0199740","","2H","","Mianowice",""
"26026090000000","6572805883","MIEJSKI URZĄD PRACY W KIELCACH","26","61","011","0945930","22238","6","","Kielce","ul. Karola Szymanowskiego"
"27671088000000","6272361726","POWIATOWY URZĄD PRACY W RUDZIE ŚLĄSKIEJ","24","72","011","0942630","28173","16","","Ruda Śląska","ul. Ballestremów"
"27671119300000","6491117386","POWIATOWY URZĄD PRACY W ZAWIERCIU","24","16","021","0945491","15710","2","","Zawiercie","ul. Parkowa"
"27671205700000","6511503403","POWIATOWY URZĄD PRACY W ŻORACH","24","79","011","0945746","15312","48","","Żory","ul. Osińska"
"27671220600000","6461803510","POWIATOWY URZĄD PRACY W TYCHACH","24","77","011","0944534","02337","59","","Tychy","ul. Budowlanych"
"27671436900000","6441097173","POWIATOWY URZĄD PRACY","24","75","011","0943428","19366","12","","Sosnowiec","ul. Rzeźnicza"
"27671612100000","6391741694","POWIATOWY URZĄD PRACY","24","11","011","0942469","08485","6","","Racibórz","ul. Klasztorna"
"27671823200000","6251669287","POWIATOWY URZĄD PRACY W BĘDZINIE","24","01","011","0937899","09830","17 A","","Będzin","ul. Ignacego Krasickiego"
"27671843300000","6482339012","POWIATOWY URZĄD PRACY W ZABRZU","24","78","011","0945380","38510","9","","Zabrze","Plac Krakowski"
"27671885800000","6331130969","POWIATOWY URZĄD PRACY W JASTRZĘBIU-ZDROJU","24","67","011","0940163","24806","2","","Jastrzębie-Zdrój","ul. Wrocławska"
"27671887000000","6272273206","POWIATOWY URZĄD PRACY W CHORZOWIE","24","63","011","0938887","15095","19","","Chorzów","ul. Opolska"
"27671899900000","6452213588","POWIATOWY URZĄD PRACY","24","13","041","0943813","22907","1","","Tarnowskie Góry","ul. Towarowa"
